10/16/2025 18:25:52 [*]  Starting T1055.002 Simulation on DESKTOP-G2OBL3D
10/16/2025 18:25:52 [*]  Simulator running from C:\Tools\PurpleSharp\PurpleSharp_x64.exe with PID:9992 as DESKTOP-G2OBL3D\student
10/16/2025 18:25:54 [*]  Process Notepad.exe with PID:7644 started for the injection
10/16/2025 18:25:55 [*]  Calling OpenProcess on PID:7644
10/16/2025 18:25:55 [*]  Calling VirtualAllocEx on PID:7644
10/16/2025 18:25:55 [*]  Calling WriteProcessMemory on PID:7644
10/16/2025 18:25:55 [*]  Calling CreateRemoteThread on PID:7644
10/16/2025 18:25:55 [*]  Simulation Finished
10/16/2025 18:25:55 [*]  Playbook Finished
10/16/2025 18:27:57 [*]  Playbook Finished
10/16/2025 18:40:53 [*]  Playbook Finished
10/16/2025 18:41:12 [*]  Starting T1055.002 Simulation on DESKTOP-G2OBL3D
10/16/2025 18:41:12 [*]  Simulator running from C:\Tools\PurpleSharp\PurpleSharp_x64.exe with PID:720 as DESKTOP-G2OBL3D\student
10/16/2025 18:41:13 [*]  Process Notepad.exe with PID:1940 started for the injection
10/16/2025 18:41:14 [*]  Calling OpenProcess on PID:1940
10/16/2025 18:41:14 [*]  Calling VirtualAllocEx on PID:1940
10/16/2025 18:41:14 [*]  Calling WriteProcessMemory on PID:1940
10/16/2025 18:41:14 [*]  Calling CreateRemoteThread on PID:1940
10/16/2025 18:41:14 [*]  Simulation Finished
10/16/2025 18:41:14 [*]  Playbook Finished
10/16/2025 18:42:27 [*]  Starting T1055.002 Simulation on DESKTOP-G2OBL3D
10/16/2025 18:42:27 [*]  Simulator running from C:\Tools\PurpleSharp\PurpleSharp_x64.exe with PID:4644 as DESKTOP-G2OBL3D\student
10/16/2025 18:42:27 [*]  Process Notepad.exe with PID:3348 started for the injection
10/16/2025 18:42:28 [*]  Calling OpenProcess on PID:3348
10/16/2025 18:42:28 [*]  Calling VirtualAllocEx on PID:3348
10/16/2025 18:42:28 [*]  Calling WriteProcessMemory on PID:3348
10/16/2025 18:42:28 [*]  Calling CreateRemoteThread on PID:3348
10/16/2025 18:42:28 [*]  Simulation Finished
10/16/2025 18:42:28 [*]  Playbook Finished
10/16/2025 18:45:08 [*]  Starting T1087.002 Simulation on DESKTOP-G2OBL3D
10/16/2025 18:45:08 [*]  Simulator running from C:\Tools\PurpleSharp\PurpleSharp_x64.exe with PID:472 as DESKTOP-G2OBL3D\student
10/16/2025 18:45:08 [*]  Using the command line to execute the technique
10/16/2025 18:45:08 [*]  Using the System.Diagnostics .NET namespace to execute 'net.exe user /domain'
10/16/2025 18:45:08 [*]  Process successfully created. (PID): 4528
10/16/2025 18:45:08 [*]  The request will be processed at a domain controller for domain WORKGROUP.
10/16/2025 18:45:08 [*]  System error 1355 has occurred.
10/16/2025 18:45:08 [*]  The specified domain either does not exist or could not be contacted.
10/16/2025 18:45:08 [*]  Simulation Finished
10/16/2025 18:45:08 [*]  Playbook Finished
10/16/2025 18:45:54 [*]  Playbook Finished
10/16/2025 18:46:34 [*]  Playbook Finished
10/16/2025 18:47:01 [*]  Starting T1059.001 Simulation on DESKTOP-G2OBL3D
10/16/2025 18:47:01 [*]  Simulator running from C:\Tools\PurpleSharp\PurpleSharp_x64.exe with PID:7360 as DESKTOP-G2OBL3D\student
10/16/2025 18:47:01 [*]  Using the command line to execute the technique
10/16/2025 18:47:01 [*]  Using the Win32 API call CreateProcess to execute: 'powershell.exe -enc UwB0AGEAcgB0AC0AUwBsAGUAZQBwACAALQBzACAAMgAwAA=='
10/16/2025 18:47:01 [*]  Process successfully created. (PID): 6836
10/16/2025 18:47:01 [*]  Simulation Finished
10/16/2025 18:47:01 [*]  Playbook Finished
10/16/2025 18:48:25 [*]  Starting T1059.001 Simulation on DESKTOP-G2OBL3D
10/16/2025 18:48:25 [*]  Simulator running from C:\Tools\PurpleSharp\PurpleSharp_x64.exe with PID:1364 as DESKTOP-G2OBL3D\student
10/16/2025 18:48:25 [*]  Using the command line to execute the technique
10/16/2025 18:48:25 [*]  Using the Win32 API call CreateProcess to execute: 'powershell.exe -enc UwB0AGEAcgB0AC0AUwBsAGUAZQBwACAALQBzACAAMgAwAA=='
